Chapter,Key Verses,Count,Key Verses
John 1,"1, 2, 3, 4, 5, 9, 10, 11, 12-13, 14, 16, 17, 18, 23(FT), 26-27, 29, 32-33(FTN), 51",51 ,21
John 2,"14-15, 16, 17(FT), 19(FT), 24-25",25 ,7
SUM,,76 ,28
Scramble Meet,"September 15, 2018, Alliance Bible Church, 19320 SE 240th St, Covington, WA 98042",,
John 3,"3(QT), 5(QT), 6, 8, 11(QT), 12, 14-15, 16, 17, 18, 19, 20-21, 29, 30, 31, 34, 35, 36 ",36 ,20
John 4,"10(FT), 13-14(FTN), 23, 24, 34, 35, 36, 38 ",54 ,9
John 5,"17(FT), 19, 20, 21, 22-23, 24(QT), 25(QT), 26-27, 28-29, 30, 39-40, 44 ",46*,16
SUM,,212 ,73
District Meet #1,"October 12-13, 2018, Eastridge Baptist Church, 12520 SE 240th St, Kent, WA 98031",,
John 6,"27, 29(FT), 32(QT), 33, 35(FT), 37, 38-39, 40, 44, 47(QT), 51, 53(QT), 54, 57, 63",71 ,16
John 7,"16-17(FTN), 18, 24, 28-29(FTN), 37, 38-39",53 ,9
John 8,"7(FT), 12(FT), 24, 29, 31-32, 34(QT), 44, 51(QT), 54(FT), 58(QT)",59 ,11
SUM,,183 ,36
District Meet #2,"November 16-17, 2018, Alliance Bible Church, 19320 SE 240th St, Covington, WA 98042",,
John 9,"4, 34-35, 39(FT), 41(FT) ",41 ,5
John 10,"8, 9, 10, 11(QT), 14-15(Q2V), 16, 17-18, 27, 28-29, 30, 37",42 ,14
John 11,"9-10(FTN), 25-26(FTN), 27, 40(FT) ",57 ,6
John 12,"8, 13, 15, 24(QT), 25, 26, 27-28, 31, 32, 35-36(FT), 38(FT), 40, 44(FT), 46, 48 ",50 ,17
John 13,"1, 3, 16(QT), 20(QT), 31-32(FTN), 34-35",38 ,8
SUM,,228 ,50
District Meet #3,"January 4-5, 2019, Dallas Alliance Church, 775 E Ellendale Ave, Dallas, OR 97338",,
John 14,"1, 2-3, 6(FT), 7, 10, 11, 12(QT), 13, 15(QT), 16-17, 21, 23-24(FTN), 26, 27",31 ,17
John 15,"1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 26 ",27 ,18
John 16,"12-13, 20(QT), 21-22, 23-24, 33",33 ,8
John 17,"1-2(FTN), 3, 11, 12, 14, 15, 17, 20-21, 22-23",26 ,12
SUM,,117 ,55
District Meet #4,"February 8-9, 2019, Lighthouse Christian Center, 3409 23rd St SW, Puyallup, WA 98373",,
John 18,"36(FT), 37 ",40 ,2
John 19,"17-18, 19, 35, 36-37",42 ,6
John 20,"21(FT), 22, 23, 29(FT), 30-31",31 ,6
John 21,"18(QT), 24, 25 ",25 ,3
SUM,,138 ,17
District Meet #5,"March 15-16, 2019, Madras Free Methodist Church, 976 S Adams Dr, Madras, OR 97741",,
Verse Totals,,878 ,231
Great West,Date and Location TBD (in Canada),,
District Championships,"April 26-27, 2019, Location TBD",,
Internationals,"Orlando, FL (Date TBD)",,
